French,English
histoire,history
police,police
pensais,thought
aide,help
demande,request
frère,brother
laisser,let
car,because
mettre,to put
eux,them
chaque,each
parlé,speak
vont,will
pendant,while
place,square
attention,Warning
leurs,their
donné,given
corps,body
yeux,eyes
trouve,find
premier,first
perdu,lost
première,first
sois,be
tiens,here
tellement,so much
vers,towards
demandé,request
belle,beautiful
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
donne,given
fin,end
gros,large
